date,state,district,pincode,bio_age_5_17,bio_age_17_
10-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,10,4
18-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00040,1,1
01-07-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00030,222,611
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,89,15
06-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00049,29,81
06-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00033,1,1
06-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,39,67
18-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06077,1,3
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,3,5
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06078,3,3
15-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00073,35,5
01-07-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00055,137,286
05-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,31,3
05-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06079,1,5
05-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,10,7
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00061,0,1
12-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,29,7
01-03-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00032,136,309
01-03-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00006,85,233
09-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00011,5,13
04-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00025,0,3
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00058,15,16
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00014,6,5
16-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,11,10
10-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00051,5,9
01-03-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,98,254
14-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,65,0
12-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00078,59,9
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00005,12,20
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,3,1
09-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00048,7,12
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00071,27,27
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00069,4,7
01-06-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,65,110
01-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00048,19,12
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,13,3
08-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00075,24,48
12-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00083,2,1
02-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,23,38
17-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00029,2,1
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,6,7
14-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,1,1
10-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00047,24,24
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00069,5,5
12-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00057,21,6
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00014,4,4
25-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00008,6,6
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00027,5,3
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00051,8,7
15-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00061,72,6
14-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00077,0,1
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,34,8
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,6,4
