date,state,district,pincode,demo_age_5_17,demo_age_17_
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,1,3
15-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,0,3
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,1,67
06-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,0,48
27-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00071,2,48
29-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06080,0,6
28-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00006,0,5
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,4,32
02-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,2,9
18-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00018,0,130
27-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00085,1,39
29-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,0,11
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00017,2,88
01-03-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00013,29,689
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,0,3
21-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,0,4
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,0,3
29-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,1,47
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00067,1,2
06-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,3,61
11-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06078,0,5
20-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00057,0,3
31-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00084,3,32
26-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00050,1,47
18-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,0,5
17-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,5,56
25-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00014,0,2
04-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00045,6,156
19-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,0,1
29-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,1,52
05-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00085,0,1
08-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,0,52
03-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00082,0,29
27-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00067,0,16
04-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,0,65
11-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00050,1,12
01-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00002,4,44
19-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,2,8
14-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,0,2
04-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00085,1,32
20-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00054,0,2
12-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00037,4,61
27-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00071,2,30
20-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06077,1,1
15-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00033,1,7
29-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00067,2,10
27-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,1,50
24-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00058,1,9
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06079,0,2
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00053,1,6
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,1,4
16-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00051,2,10
07-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,0,20
26-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,1,55
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06077,1,20
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,0,5
03-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,5,67
03-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,5,49
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,0,35
04-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06080,0,4
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,0,72
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00077,1,8
07-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00047,0,1
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00031,0,15
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00036,0,5
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00078,0,11
06-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,6,35
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,0,3
16-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,2,11
29-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00083,1,4
16-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,0,5
28-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,1,8
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,0,4
23-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00054,0,1
16-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,4,14
19-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,2,45
03-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,1,32
25-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,0,23
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,1,31
27-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00024,2,81
20-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00052,0,4
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00032,0,18
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00029,0,1
11-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00085,0,29
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00053,0,19
31-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00069,4,50
28-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,0,17
14-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,1,5
10-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00044,2,17
07-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00050,1,9
06-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06077,0,73
08-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00027,2,6
19-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00001,1,7
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00025,0,1
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00020,1,42
03-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00084,1,10
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00022,0,1
19-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00030,2,3
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,2,19
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,1,50
02-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,1,1
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00040,0,1
12-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00080,0,6
19-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,1,14
31-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00015,0,10
23-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00078,1,37
25-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,0,2
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,0,9
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,0,1
19-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06077,1,4
27-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,0,7
17-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,5,56
08-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00005,1,31
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00067,1,13
29-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,0,16
16-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,2,18
08-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00001,0,10
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00051,1,1
04-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00040,0,42
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00055,0,2
16-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,1,11
19-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,1,24
24-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00054,1,4
14-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,0,1
29-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00013,0,29
12-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_03283,0,1
17-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00067,0,44
17-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00077,0,64
12-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00042,0,21
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00068,0,16
25-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00051,1,19
19-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00017,2,6
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00081,1,111
20-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00027,1,0
27-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,1,46
27-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00022,0,37
07-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,0,74
16-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06080,0,4
05-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,0,3
21-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00045,2,5
09-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00011,0,2
25-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06077,0,2
24-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06080,1,1
20-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,0,6
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,0,7
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,0,12
17-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,0,68
24-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00073,2,3
15-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00062,1,17
24-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,0,9
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00058,0,22
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00015,0,1
01-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00031,3,123
16-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00033,0,6
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,1,3
09-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00031,3,27
02-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,1,3
18-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06080,0,11
26-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00075,1,8
05-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00036,0,3
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00060,0,16
01-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00080,0,8
26-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00071,2,25
14-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,0,3
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00074,0,100
20-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00002,0,15
14-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06080,0,2
02-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00084,1,6
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00037,2,32
11-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,1,158
26-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00018,2,43
08-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00007,1,4
16-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00076,0,4
03-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00061,1,7
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00006,1,9
05-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,1,22
29-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00014,0,7
24-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00045,8,18
04-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00001,0,90
25-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00008,0,16
19-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00071,1,30
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00032,0,15
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00069,4,30
25-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00061,0,26
07-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00013,0,54
20-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,4,12
06-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,0,40
05-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00007,1,1
20-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00008,0,6
31-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00072,4,187
26-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00081,1,41
12-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,1,19
17-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,1,7
02-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,3,8
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00052,0,6
04-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00002,1,18
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00008,4,107
14-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,0,2
28-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00073,0,8
16-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,7,43
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00070,3,36
20-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,1,10
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,1,80
20-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00045,2,12
04-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00061,1,35
01-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00014,1,1
20-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00084,0,1
10-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00039,2,5
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,2,17
15-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06080,1,3
09-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00084,0,7
17-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00074,0,99
27-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00035,1,45
15-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,3,30
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00002,5,12
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00304,0,4
28-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,2,13
21-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,0,2
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,1,10
08-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00060,0,16
26-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,1,13
18-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00060,0,47
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00005,1,4
11-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00043,0,15
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00076,0,3
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00081,3,92
29-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00085,0,14
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00036,0,43
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,0,32
24-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,2,7
13-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00017,1,11
28-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,0,36
23-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,0,1
19-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00038,2,20
21-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,0,1
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00004,0,8
18-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00024,0,10
20-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00011,1,6
19-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00025,0,1
06-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00031,0,8
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00074,1,168
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00001,0,86
13-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00063,1,5
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00014,0,1
02-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_06079,0,4
04-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00082,1,17
21-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,0,4
04-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00033,0,14
16-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00082,0,4
19-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00027,4,17
12-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00077,1,9
29-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00022,1,11
19-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00025,0,5
13-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00081,0,5
09-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00032,0,8
18-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00069,4,71
16-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00044,1,20
17-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00006,1,8
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00039,0,10
22-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00056,0,3
26-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,0,10
07-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00034,0,1
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00053,1,7
20-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00079,4,28
06-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00018,2,80
07-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00070,1,72
04-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00025,3,25
15-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00040,0,52
20-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,0,4
03-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00059,0,6
27-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00011,0,16
25-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00065,0,3
14-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,1,95
10-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00073,0,10
07-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00008,2,7
16-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00060,1,3
10-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00033,1,3
25-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00044,1,12
06-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00041,1,20
20-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00033,1,1
