date,state,district,pincode,age_0_5,age_5_17,age_18_greater
02-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00001,1,0,0
24-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00002,2,0,0
26-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00003,1,0,0
25-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00004,0,1,0
01-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00005,0,1,0
03-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00006,2,1,0
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00007,1,0,0
28-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00008,3,2,0
25-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00009,1,1,0
13-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00010,1,0,0
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00011,9,1,0
02-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00012,4,2,0
26-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00013,1,1,0
18-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00014,1,0,0
02-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00015,0,1,0
13-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00016,1,0,0
26-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00017,1,1,0
13-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00018,2,0,0
26-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00019,1,0,0
14-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00020,0,1,0
15-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00021,3,2,0
08-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00022,1,2,0
23-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00023,2,0,0
15-12-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00024,2,1,0
11-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00025,1,0,0
03-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00026,1,0,0
30-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00027,1,1,0
12-11-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00006,0,1,0
06-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00028,0,1,0
06-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00002,0,1,0
13-10-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00029,0,1,0
03-09-2025,Maharashtra,Ahmadnagar,SAMPLE_PIN_00030,2,0,0
