pincode,district,state
SAMPLE_PIN_00001,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00002,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00003,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00004,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00005,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00006,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00007,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00008,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00009,Ahmed Nagar,MAHARASHTRA
SAMPLE_PIN_00010,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00011,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00012,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00013,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00014,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00015,Pune,MAHARASHTRA
SAMPLE_PIN_00016,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00017,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00018,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00019,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00020,Ahmed Nagar,MAHARASHTRA
SAMPLE_PIN_00021,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00022,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00023,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00024,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00025,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00026,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00027,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00028,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00029,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00030,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00031,Ahmednagar,MAHARASHTRA
SAMPLE_PIN_00032,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00033,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00034,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00035,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00036,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00037,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00038,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00039,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00040,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00041,Ahmadnagar,MAHARASHTRA
SAMPLE_PIN_00042,Ahmadnagar,MAHARASHTRA
